"stock","name","region","scenario","source","bk_method","r_method","priorrlw","priorr","priorrup","postrlw","postr","postrup","priorklw","priork","priorkup","postklw","postk","postkup","priorbklw","priorbk","priorbkup","postbklw","postbk","postbkup","priormsylw","priormsy","priormsyup","postmsylw","postmsy","postmsyup","fmsylw","fmsy","fmsyup","bmsylw","bmsy","bmsyup","ctlast","ctavg5","ffmsylw","ffmsy","ffmsyup","bbmsylw","bbmsy","bbmsyup","PPVRr","RUr","OVLr","BCr","PPVRbk","RUbk","OVLbk","BCbk","viab_rate","mean.log.r","sd.log.r","mean.log.k","sd.log.k"
"seabob_NE_Silva_Base_BRT_Smith rebound","seabob","NE","Base","Silva","BRT","Smith rebound",0.26,0.424768129001449,0.66,0.22,0.29493009832456,0.41,24,55.4755695636169,110,51.79,73.4119729403904,102.36,0.42,0.518938016055087,0.62,0.42,0.52029196938273,0.62,4.29,5.36024739940261,6.43,3.93,5.32,7.23,0.11,0.16,0.21,25.9,33.3,51.18,5.95,5.93,0.67,1.1,1.75,0.84,1.04,1.24,0.589,0.232,0.388,0.685,1.048,-0.024,0.977,0.999,0.203,-0.881294545964137,0.232889551001236,3.94086098206074,0.379624623306926
"seabob_NE_Silva_Base_BRT_Myers","seabob","NE","Base","Silva","BRT","Myers",0.15,0.302739395813878,0.55,0.12,0.177280791211389,0.26,32,82.5050922802253,177,79.05,118.039417716942,166.65,0.42,0.520145013166006,0.62,0.41,0.512465421523116,0.61,4.29,5.36024739940261,6.43,3.53,5.14,7.32,0.06,0.1,0.13,39.53,52.74,83.32,5.95,5.93,0.7,1.17,1.97,0.82,1.03,1.22,0.431,0.343,0.344,0.628,0.977,0.012,0.939,0.997,0.208,-1.24747849282075,0.324820746032565,4.31374889624998,0.430467560265387
"seabob_NE_Silva_Base_BRT_Euler","seabob","NE","Base","Silva","BRT","Euler",0.72,0.901932476830776,1.12,0.69,0.818592278463234,1,13,25.3892197844304,45,23.26,29.3845942052054,36.92,0.42,0.520219946972406,0.62,0.43,0.524201199737,0.62,4.29,5.36024739940261,6.43,5.04,5.93,7.21,0.34,0.43,0.5,11.63,13.79,18.46,5.95,5.93,0.65,0.97,1.46,0.85,1.05,1.24,0.943,0.029,0.657,0.906,0.981,0.01,0.968,0.999,0.148,-0.107587690832516,0.11045818806976,3.17873523126943,0.319388287126774
"seabob_NE_Silva_Base_BRT_Demographic inv","seabob","NE","Base","Silva","BRT","Demographic inv",0.39,0.564507539480035,0.79,0.34,0.438317851652282,0.57,19,40.930943308602,77,37.79,51.3442112235802,68.29,0.42,0.519448304748102,0.62,0.42,0.51592488292187,0.62,4.29,5.36024739940261,6.43,4.33,5.48,7.21,0.17,0.23,0.29,18.9,23.61,34.14,5.95,5.93,0.66,1.06,1.66,0.84,1.03,1.24,0.659,0.188,0.448,0.734,1.027,-0.014,0.969,0.999,0.178,-0.588665436689757,0.176471551584344,3.65572624652986,0.343723671695886
"seabob_NE_Freire_Base_NN_Smith rebound","seabob","NE","Base","Freire","NN","Smith rebound",0.26,0.426213912301729,0.66,0.26,0.351636570449033,0.49,24,54.8719467451288,108,45.7,64.5707828076155,86.52,0.4,0.500122011919141,0.6,0.4,0.500613477314323,0.6,4.27,5.3328963,6.4,4.63,5.59,6.65,0.13,0.19,0.25,22.85,29.35,43.26,5.64,5.61,0.67,1.04,1.56,0.81,1,1.2,0.547,0.261,0.645,0.891,0.942,0.03,0.98,0.999,0.144,-0.881294545964137,0.232889551001236,3.93578416563667,0.374752123189211
"seabob_NE_Freire_Base_NN_Myers","seabob","NE","Base","Freire","NN","Myers",0.15,0.302676688587323,0.55,0.14,0.207139234231649,0.3,31,82.372109426529,180,72.66,107.311496496332,148.8,0.4,0.500771020042463,0.6,0.4,0.497780627528677,0.6,4.27,5.3328963,6.4,4.24,5.48,6.98,0.07,0.11,0.15,36.33,48.04,74.4,5.64,5.61,0.68,1.08,1.72,0.8,1,1.19,0.427,0.347,0.498,0.776,0.997,0.002,0.972,0.999,0.168,-1.24747849282075,0.324820746032565,4.32004178767239,0.437042776891923
"seabob_NE_Freire_Base_NN_Euler","seabob","NE","Base","Freire","NN","Euler",0.72,0.904516514953403,1.12,0.71,0.843503196716656,1.01,13,25.0653957758306,45,22.74,28.0427472425993,33.76,0.4,0.500956929889639,0.6,0.4,0.498596202678481,0.6,4.27,5.3328963,6.4,5.28,5.86,6.61,0.35,0.45,0.5,11.37,13.14,16.88,5.64,5.61,0.66,0.98,1.43,0.8,1,1.2,0.779,0.118,0.743,0.944,0.978,0.011,0.975,0.999,0.101,-0.107587690832516,0.11045818806976,3.1703085393402,0.317283566651728
"seabob_NE_Freire_Base_NN_Demographic inv","seabob","NE","Base","Freire","NN","Demographic inv",0.39,0.564816033221563,0.79,0.39,0.503284059240604,0.67,19,40.6606290244594,76,34.9,45.9910223799938,58.26,0.4,0.499906560272265,0.6,0.4,0.497310021479957,0.59,4.27,5.3328963,6.4,5,5.74,6.54,0.19,0.27,0.33,17.45,21.07,29.13,5.64,5.61,0.68,1.01,1.51,0.8,1,1.18,0.653,0.192,0.72,0.933,0.919,0.041,0.97,0.999,0.129,-0.588665436689757,0.176471551584344,3.64210180464371,0.342702121460932
"seabob_NE_Freire_Base_BRT_Smith rebound","seabob","NE","Base","Freire","BRT","Smith rebound",0.26,0.425179008129643,0.66,0.27,0.366784403340968,0.51,24,55.9940729955849,110,48.82,68.9197343388324,92.76,0.6,0.700376417982802,0.8,0.57,0.676158681420105,0.77,4.27,5.3328963,6.4,4.99,6.26,7.84,0.13,0.2,0.25,24.41,31.23,46.38,5.64,5.61,0.45,0.69,1.04,1.15,1.35,1.54,0.594,0.229,0.733,0.932,0.948,0.026,0.809,0.972,0.153,-0.881294545964137,0.232889551001236,3.94753320943757,0.37767598614139
"seabob_NE_Freire_Base_BRT_Myers","seabob","NE","Base","Freire","BRT","Myers",0.15,0.303993509251117,0.55,0.15,0.217178286337759,0.32,31,82.2124311972241,183,77.98,114.309388761544,160.6,0.6,0.69942176477654,0.8,0.58,0.684482822558377,0.78,4.27,5.3328963,6.4,4.58,6.17,8.06,0.08,0.12,0.16,38.99,50.96,80.3,5.64,5.61,0.44,0.7,1.1,1.16,1.37,1.56,0.402,0.366,0.534,0.816,0.986,0.007,0.881,0.989,0.166,-1.24747849282075,0.324820746032565,4.32259163718697,0.444679420943347
"seabob_NE_Freire_Base_BRT_Euler","seabob","NE","Base","Freire","BRT","Euler",0.72,0.903786552632249,1.12,0.73,0.870424944961946,1.05,13,24.9510150735013,44,23.53,29.3782182578778,36.61,0.6,0.700794198303236,0.8,0.57,0.673481519197805,0.77,4.27,5.3328963,6.4,5.52,6.37,7.42,0.37,0.46,0.52,11.76,13.94,18.31,5.64,5.61,0.46,0.67,0.98,1.15,1.35,1.54,0.817,0.096,0.867,0.981,0.844,0.081,0.779,0.962,0.136,-0.107587690832516,0.11045818806976,3.16678772244722,0.310857283275947
"seabob_NE_Freire_Base_BRT_Demographic inv","seabob","NE","Base","Freire","BRT","Demographic inv",0.39,0.564755362363219,0.79,0.41,0.519549271772338,0.67,19,40.8079028179157,76,36.98,49.1085757460964,63.32,0.6,0.700588720234048,0.8,0.57,0.67588685072758,0.77,4.27,5.3328963,6.4,5.31,6.34,7.71,0.2,0.28,0.33,18.49,22.81,31.66,5.64,5.61,0.45,0.68,1,1.15,1.35,1.54,0.639,0.201,0.797,0.955,0.9,0.051,0.81,0.97,0.141,-0.588665436689757,0.176471551584344,3.64466871775706,0.34618937069094
"seabob_N_Silva_Base_NN_Smith rebound","seabob","N","Base","Silva","NN","Smith rebound",0.26,0.425013817659818,0.66,0.26,0.347673701998025,0.48,13,28.875371199379,57,23.03,32.4350200392508,42.25,0.4,0.499947419944016,0.6,0.39,0.495024754513187,0.59,2.21,2.75839235152484,3.31,2.44,2.8,3.17,0.13,0.19,0.24,11.51,14.61,21.12,2.88,2.83,0.71,1.05,1.55,0.79,0.99,1.19,0.512,0.284,0.632,0.88,1.012,-0.006,0.963,0.998,0.151,-0.881294545964137,0.232889551001236,3.2935939424206,0.371571424438737
"seabob_N_Silva_Base_NN_Myers","seabob","N","Base","Silva","NN","Myers",0.15,0.302803902369142,0.55,0.15,0.216518936898369,0.31,16,42.339424726842,92,35.23,51.8433262235727,70.56,0.4,0.501118743755868,0.6,0.39,0.494178966283363,0.6,2.21,2.75839235152484,3.31,2.28,2.78,3.33,0.08,0.12,0.16,17.61,23.13,35.28,2.88,2.83,0.69,1.07,1.65,0.79,0.99,1.19,0.363,0.397,0.532,0.809,0.985,0.007,0.934,0.997,0.147,-1.24747849282075,0.324820746032565,3.64945026063048,0.43774618164773
"seabob_N_Silva_Base_NN_Euler","seabob","N","Base","Silva","NN","Euler",0.72,0.904178071426612,1.12,0.72,0.8539967825473,1.04,6,12.7530732961602,23,10.92,13.451809730802,15.78,0.4,0.499416031775007,0.6,0.4,0.499991335417986,0.6,2.21,2.75839235152484,3.31,2.66,2.86,3.13,0.36,0.45,0.52,5.46,6.28,7.89,2.88,2.83,0.69,1,1.47,0.81,1,1.19,0.804,0.103,0.783,0.959,0.914,0.044,0.966,0.998,0.131,-0.107587690832516,0.11045818806976,2.49799015076867,0.315800713165621
"seabob_N_Silva_Base_NN_Demographic inv","seabob","N","Base","Silva","NN","Demographic inv",0.39,0.565752308584288,0.79,0.39,0.499113976110152,0.65,10,21.2687412594162,40,17.07,22.7151329844355,28.33,0.4,0.500052287289853,0.6,0.4,0.497910391190029,0.59,2.21,2.75839235152484,3.31,2.52,2.82,3.13,0.2,0.27,0.33,8.54,10.43,14.16,2.88,2.83,0.7,1.03,1.52,0.8,1,1.19,0.627,0.208,0.691,0.917,0.956,0.022,0.972,0.999,0.152,-0.588665436689757,0.176471551584344,3.00207080437274,0.33862731408334
"seabob_N_Silva_Base_BRT_Smith rebound","seabob","N","Base","Silva","BRT","Smith rebound",0.26,0.42558466577741,0.66,0.26,0.35116689697008,0.48,12,28.2902951770506,55,23.02,32.0823968660827,41.89,0.4,0.499459776204529,0.6,0.4,0.491560053373469,0.59,2.21,2.75839235152484,3.31,2.41,2.79,3.15,0.13,0.19,0.24,11.51,14.57,20.95,2.88,2.83,0.71,1.06,1.57,0.79,0.98,1.17,0.512,0.285,0.64,0.884,0.876,0.064,0.923,0.995,0.143,-0.881294545964137,0.232889551001236,3.26808066511562,0.371963363786181
"seabob_N_Silva_Base_BRT_Myers","seabob","N","Base","Silva","BRT","Myers",0.15,0.303015136656061,0.55,0.15,0.216660279464125,0.31,16,42.5735689980289,93,36,51.6655531182825,69.82,0.4,0.500027546835323,0.6,0.39,0.489762496172474,0.6,2.21,2.75839235152484,3.31,2.3,2.77,3.29,0.08,0.12,0.15,18,23.3,34.91,2.88,2.83,0.7,1.08,1.67,0.78,0.98,1.19,0.365,0.396,0.534,0.797,1.04,-0.02,0.91,0.994,0.154,-1.24747849282075,0.324820746032565,3.65932209940277,0.435893080187016
"seabob_N_Silva_Base_BRT_Euler","seabob","N","Base","Silva","BRT","Euler",0.72,0.90359803370441,1.12,0.72,0.85442656948591,1.03,7,12.9493118750575,23,11,13.4394649712377,15.85,0.4,0.49975337619387,0.6,0.41,0.500908869078478,0.59,2.21,2.75839235152484,3.31,2.64,2.87,3.13,0.36,0.46,0.51,5.5,6.29,7.92,2.88,2.83,0.7,0.99,1.44,0.81,1,1.18,0.775,0.12,0.774,0.961,0.843,0.082,0.955,0.998,0.123,-0.107587690832516,0.11045818806976,2.50883188808997,0.310893999137028
"seabob_N_Silva_Base_BRT_Demographic inv","seabob","N","Base","Silva","BRT","Demographic inv",0.39,0.562348739598837,0.79,0.39,0.504465901894247,0.66,10,21.1637032741118,40,16.88,22.5044243791933,29.1,0.4,0.499644656262284,0.6,0.39,0.491913521225627,0.59,2.21,2.75839235152484,3.31,2.54,2.81,3.1,0.2,0.27,0.33,8.44,10.33,14.55,2.88,2.83,0.72,1.04,1.54,0.79,0.98,1.18,0.703,0.161,0.736,0.941,0.922,0.04,0.928,0.996,0.146,-0.588665436689757,0.176471551584344,2.98928803438361,0.345746369664816
"seabob_N_Freire_Base_NN_Smith rebound","seabob","N","Base","Freire","NN","Smith rebound",0.26,0.426286801110732,0.66,0.23,0.295468183323129,0.39,18,41.3434604117994,83,35.02,45.3955054651019,57.48,0.4,0.499423258792265,0.6,0.41,0.514114108206837,0.61,3.18,3.9730416,4.77,2.9,3.39,3.84,0.11,0.16,0.19,17.51,21.22,28.74,2.23,2.23,0.45,0.66,1,0.82,1.03,1.23,0.416,0.355,0.354,0.63,1.079,-0.039,0.886,0.989,0.061,-0.881294545964137,0.232889551001236,3.65389705346367,0.380491153781638
"seabob_N_Freire_Base_NN_Myers","seabob","N","Base","Freire","NN","Myers",0.15,0.304262428230603,0.55,0.14,0.19151196076157,0.28,23,59.8292175410275,131,47.22,68.5161900162985,91.49,0.4,0.498386218309012,0.6,0.4,0.493936078707054,0.59,3.18,3.9730416,4.77,2.71,3.26,3.86,0.07,0.11,0.14,23.61,30.85,45.74,2.23,2.23,0.47,0.71,1.09,0.79,0.99,1.19,0.319,0.436,0.372,0.671,0.979,0.011,0.961,0.998,0.085,-1.24747849282075,0.324820746032565,4.00734748340618,0.43572511342793
"seabob_N_Freire_Base_NN_Euler","seabob","N","Base","Freire","NN","Euler",0.72,0.90345849955959,1.12,0.64,0.743145950109509,0.9,9,18.7395667775676,34,16.24,20.1276716142111,24,0.4,0.500323566500681,0.6,0.43,0.540354321825202,0.65,3.18,3.9730416,4.77,3.28,3.67,4.15,0.32,0.39,0.45,8.12,9.35,12,2.23,2.23,0.38,0.56,0.82,0.86,1.08,1.3,0.766,0.125,0.34,0.641,1.237,-0.112,0.716,0.933,0.014,-0.107587690832516,0.11045818806976,2.87835235195023,0.320189248667281
"seabob_N_Freire_Base_NN_Demographic inv","seabob","N","Base","Freire","NN","Demographic inv",0.39,0.56588873820098,0.79,0.33,0.412498295808245,0.53,14,30.2238732728951,57,26.46,33.3235246583867,40.76,0.4,0.499030203385795,0.6,0.43,0.530442937753512,0.63,3.18,3.9730416,4.77,3.01,3.44,3.84,0.17,0.22,0.26,13.23,15.35,20.38,2.23,2.23,0.43,0.62,0.91,0.86,1.06,1.26,0.515,0.282,0.303,0.593,1.036,-0.018,0.76,0.954,0.035,-0.588665436689757,0.176471551584344,3.35806148226882,0.345265992599802
"seabob_N_Freire_Base_BRT_Smith rebound","seabob","N","Base","Freire","BRT","Smith rebound",0.26,0.422970135221636,0.66,0.23,0.296430337745324,0.39,18,41.6760421851111,82,34.31,45.0061685909898,56.53,0.4,0.498232087366445,0.6,0.41,0.511722613946385,0.61,3.18,3.9730416,4.77,2.88,3.34,3.8,0.11,0.16,0.2,17.15,20.92,28.27,2.23,2.23,0.45,0.67,1,0.82,1.02,1.23,0.41,0.36,0.362,0.648,1.048,-0.024,0.899,0.991,0.063,-0.881294545964137,0.232889551001236,3.65175017012132,0.376014379082948
"seabob_N_Freire_Base_BRT_Myers","seabob","N","Base","Freire","BRT","Myers",0.15,0.304117271821941,0.55,0.14,0.190519799967532,0.27,23,60.9490390963946,135,48.78,69.2927386123803,94.62,0.4,0.499599816465787,0.6,0.4,0.498550273277415,0.59,3.18,3.9730416,4.77,2.71,3.3,3.91,0.07,0.1,0.13,24.39,31.97,47.31,2.23,2.23,0.46,0.7,1.08,0.8,1,1.19,0.335,0.421,0.374,0.664,1.015,-0.007,0.98,0.999,0.088,-1.24747849282075,0.324820746032565,4.01843305877703,0.44215501635109
"seabob_N_Freire_Base_BRT_Euler","seabob","N","Base","Freire","BRT","Euler",0.72,0.903315754336778,1.12,0.64,0.75576740029814,0.92,9,18.4029165983085,33,15.99,19.6655257352861,23.47,0.4,0.500359428102849,0.6,0.43,0.551631119460297,0.66,3.18,3.9730416,4.77,3.32,3.69,4.18,0.32,0.41,0.46,7.99,9.07,11.73,2.23,2.23,0.38,0.55,0.81,0.86,1.11,1.32,0.815,0.097,0.411,0.705,1.391,-0.179,0.631,0.895,0.011,-0.107587690832516,0.11045818806976,2.86843043892002,0.309551951543872
"seabob_N_Freire_Base_BRT_Demographic inv","seabob","N","Base","Freire","BRT","Demographic inv",0.39,0.564847609152841,0.79,0.33,0.41043342292013,0.53,14,30.6233704186775,57,26.48,33.6042134910608,41.14,0.4,0.501264484643847,0.6,0.42,0.524296968965898,0.63,3.18,3.9730416,4.77,3.05,3.44,3.88,0.17,0.22,0.26,13.24,15.64,20.57,2.23,2.23,0.43,0.63,0.92,0.84,1.04,1.25,0.52,0.279,0.3,0.578,1.115,-0.056,0.838,0.975,0.034,-0.588665436689757,0.176471551584344,3.36234056989188,0.344626039289405
"pink_SE_Silva_Base_NN_Smith rebound","pink","SE","Base","Silva","NN","Smith rebound",0.18,0.336430128649529,0.58,0.15,0.200995051708542,0.28,11,26.9244384914581,57,24.02,32.1212669969948,41.17,0.22,0.320900962922057,0.42,0.24,0.341835755170484,0.45,1.59,1.98345549122973,2.38,1.33,1.61,1.87,0.07,0.11,0.14,12.01,14.81,20.59,0.91,0.96,0.54,0.85,1.39,0.48,0.68,0.9,0.368,0.393,0.279,0.561,1.027,-0.013,0.855,0.98,0.005,-1.1297628017668,0.292517813162564,3.20567744584358,0.4173534872163
"pink_SE_Silva_Base_NN_Myers","pink","SE","Base","Silva","NN","Myers",0.07,0.202414014264794,0.47,0.06,0.0926669227033459,0.14,14,51.3847622808455,133,43.33,67.3254567162636,98.85,0.22,0.318958871766885,0.42,0.23,0.321266320863078,0.42,1.59,1.98345549122973,2.38,1.1,1.54,2.16,0.03,0.05,0.07,21.66,29.78,49.42,0.91,0.96,0.55,0.96,1.74,0.45,0.64,0.84,0.22,0.531,0.294,0.575,0.891,0.056,0.967,0.998,0.035,-1.70714131060541,0.476059363163686,3.78113198458452,0.55629687741293
"pink_SE_Silva_Base_NN_Euler","pink","SE","Base","Silva","NN","Euler",0.37,0.542244724123854,0.77,0.31,0.395420823766466,0.53,8,15.9270845204331,30,14.6,18.8050407958411,22.7,0.22,0.320707761873843,0.42,0.24,0.338693896169259,0.46,1.59,1.98345549122973,2.38,1.6,1.85,2.07,0.15,0.21,0.26,7.3,8.63,11.35,0.91,0.96,0.48,0.74,1.23,0.47,0.67,0.91,0.682,0.174,0.354,0.644,1.045,-0.022,0.862,0.984,0,-0.627808518739137,0.183221877302365,2.71062950542765,0.344607802538859
"pink_SE_Silva_Base_NN_Demographic inv","pink","SE","Base","Silva","NN","Demographic inv",0.35,0.52237435953231,0.75,0.29,0.376001736602115,0.49,8,16.384183620709,31,15.24,19.6404999918851,24.05,0.22,0.318758646626972,0.42,0.23,0.338024734767649,0.44,1.59,1.98345549122973,2.38,1.59,1.84,2.08,0.15,0.2,0.25,7.62,9.06,12.02,0.91,0.96,0.48,0.74,1.26,0.46,0.67,0.89,0.609,0.22,0.344,0.638,1.023,-0.011,0.849,0.982,0,-0.668752098475229,0.190535013011724,2.73655787922227,0.350072030827721
"pink_SE_Silva_Base_BRT_Smith rebound","pink","SE","Base","Silva","BRT","Smith rebound",0.18,0.33771835455346,0.58,0.15,0.199409828478112,0.27,11,26.805539987548,57,24.27,32.5537186516314,42.67,0.22,0.320335348912443,0.42,0.24,0.338705307901482,0.44,1.59,1.98345549122973,2.38,1.32,1.64,1.96,0.07,0.11,0.14,12.14,15.1,21.34,0.91,0.96,0.54,0.86,1.43,0.49,0.68,0.89,0.363,0.398,0.286,0.561,0.949,0.026,0.862,0.983,0.006,-1.1297628017668,0.292517813162564,3.20242689981394,0.416780644839229
"pink_SE_Silva_Base_BRT_Myers","pink","SE","Base","Silva","BRT","Myers",0.07,0.203758171548936,0.47,0.06,0.0932546701878494,0.14,14,51.5943727850801,135,43.94,68.3445223293267,99.87,0.22,0.320299021974434,0.42,0.23,0.323753576810791,0.42,1.59,1.98345549122973,2.38,1.14,1.57,2.13,0.03,0.05,0.07,21.97,30.11,49.93,0.91,0.96,0.53,0.93,1.67,0.46,0.64,0.84,0.225,0.526,0.295,0.577,0.883,0.06,0.951,0.997,0.035,-1.70714131060541,0.476059363163686,3.78212232582961,0.561908070026732
"pink_SE_Silva_Base_BRT_Euler","pink","SE","Base","Silva","BRT","Euler",0.37,0.542947785309361,0.77,0.3,0.396259751904076,0.52,7,15.6416985669612,30,14.45,18.6370215670766,23.06,0.22,0.320538361186481,0.42,0.24,0.33768981882769,0.44,1.59,1.98345549122973,2.38,1.59,1.82,2.04,0.15,0.21,0.26,7.22,8.61,11.53,0.91,0.96,0.49,0.75,1.19,0.47,0.67,0.89,0.656,0.19,0.353,0.634,1.006,-0.003,0.863,0.986,0,-0.627808518739137,0.183221877302365,2.69170603770931,0.347686302606437
"pink_SE_Silva_Base_BRT_Demographic inv","pink","SE","Base","Silva","BRT","Demographic inv",0.35,0.522661392202809,0.75,0.3,0.377292666481143,0.5,8,16.2634652130407,31,15.11,19.3350077740273,23.67,0.22,0.319957724608247,0.42,0.23,0.336859451174677,0.44,1.59,1.98345549122973,2.38,1.6,1.82,2.04,0.15,0.21,0.25,7.56,8.89,11.84,0.91,0.96,0.49,0.76,1.26,0.47,0.67,0.89,0.566,0.248,0.341,0.629,1.043,-0.021,0.875,0.987,0,-0.668752098475229,0.190535013011724,2.73352755957745,0.344343893528388
"pink_S_Silva_Base_NN_Smith rebound","pink","S","Base","Silva","NN","Smith rebound",0.09,0.23199331079558,0.49,0.07,0.104008268597553,0.16,62,196.882447149671,490,157.49,258.456181269794,391.02,0.22,0.319185107339857,0.42,0.22,0.314774236437542,0.41,7.34,9.1709926535944,11.01,4.48,6.49,10.01,0.04,0.06,0.08,78.74,110.9,195.51,3.35,3.24,0.45,0.82,1.56,0.44,0.63,0.83,0.262,0.488,0.242,0.508,1.015,-0.007,0.965,0.999,0.024,-1.56064774826467,0.423648930193602,5.1571707965312,0.518570203086785
"pink_S_Silva_Base_NN_Myers","pink","S","Base","Silva","NN","Myers",0.03,0.141398344208919,0.43,0.03,0.0453625914629444,0.07,76,428.08402051782,1391,507.18,801.765568713497,1167.67,0.22,0.319742704438921,0.42,0.21,0.310828147063619,0.41,7.34,9.1709926535944,11.01,6.02,8.78,12.61,0.01,0.03,0.04,253.59,343.07,583.84,3.35,3.24,0.35,0.61,1.21,0.42,0.62,0.82,0.128,0.642,0.258,0.517,0.99,0.005,0.936,0.995,0.053,-2.17526398380726,0.665646956756363,5.78286795071874,0.727443973071366
"pink_S_Silva_Base_NN_Euler","pink","S","Base","Silva","NN","Euler",0.39,0.563043109459919,0.79,0.31,0.391856470549251,0.51,33,69.9343380896862,131,50.48,64.9532816592253,81.06,0.22,0.320846853966372,0.42,0.23,0.339356828599787,0.45,7.34,9.1709926535944,11.01,5.42,6.37,7.32,0.15,0.21,0.26,25.24,30.69,40.53,3.35,3.24,0.49,0.77,1.31,0.46,0.68,0.9,0.614,0.216,0.261,0.516,1.048,-0.024,0.857,0.984,0,-0.588665436689757,0.176471551584344,4.18978418625093,0.3419451941253
"pink_S_Silva_Base_NN_Demographic inv","pink","S","Base","Silva","NN","Demographic inv",0.28,0.444941890722996,0.68,0.21,0.280214195585849,0.38,41,91.3708868448956,175,64.45,85.8828377748988,111.05,0.22,0.320262310918721,0.42,0.23,0.334333748758877,0.43,7.34,9.1709926535944,11.01,4.99,6.17,7.23,0.11,0.15,0.19,32.22,40.34,55.53,3.35,3.24,0.53,0.83,1.41,0.47,0.67,0.87,0.557,0.254,0.253,0.504,1.033,-0.017,0.883,0.989,0.001,-0.829314078312436,0.221825798750226,4.43796750791798,0.364642373656064
"pink_S_Silva_Base_BRT_Smith rebound","pink","S","Base","Silva","BRT","Smith rebound",0.09,0.230661329284956,0.49,0.07,0.103232093165553,0.15,63,200.154630068535,490,154.59,256.709682582528,387.84,0.22,0.319799063034491,0.42,0.23,0.321062068661509,0.42,7.34,9.1709926535944,11.01,4.42,6.33,9.63,0.04,0.06,0.08,77.3,109.42,193.92,3.35,3.24,0.45,0.82,1.52,0.45,0.64,0.84,0.258,0.492,0.243,0.5,0.93,0.036,0.967,0.999,0.021,-1.56064774826467,0.423648930193602,5.16811560448061,0.513117291036001
